Company Name,tradingsymbol,exchange_token
Hatsun Agro Product Limited,HATSUN,3892
Havells India Limited,HAVELLS,9819
HBL Engineering Limited,HBLENGINE,13966
HealthCare Global Enterprises Limited,HCG,15555
HCL Technologies Limited,HCLTECH,7229
HDB Financial Services Limited,HDBFS,757772
HDFC Asset Management Company Limited,HDFCAMC,4244
HDFC Bank Limited,HDFCBANK,1333
HDFC Life Insurance Company Limited,HDFCLIFE,467
HEG Limited,HEG,1336
Hero MotoCorp Limited,HEROMOTOCO,1348
Hester Biosciences Limited,HESTERBIO,7048
Hexaware Technologies Limited,HEXT,29666
H.G. Infra Engineering Limited,HGINFRA,1672
Hinduja Global Solutions Limited,HGS,14712
Hindalco Industries Limited,HINDALCO,1363
Hindustan Composites Limited,HINDCOMPOS,1372
Hindustan Copper Limited,HINDCOPPER,17939
Hindustan Unilever Limited,HINDUNILVR,1394
Hindustan Zinc Limited,HINDZINC,1424
Hind Rectifiers Limited,HIRECT,13890
The Hi-Tech Gears Limited,HITECHGEAR,8568
Hindustan Foods Limited,HNDFDS,12173
Home First Finance Company India Limited,HOMEFIRST,2056
Honeywell Automation India Limited,HONAUT,3417
Honda India Power Products Limited,HONDAPOWER,3138
Himadri Speciality Chemical Limited,HSCL,14334
ICICI Prudential Asset Management Company Limited,ICICIAMC,760407
ICICI Bank Limited,ICICIBANK,4963
ICICI Lombard General Insurance Company Limited,ICICIGI,21770
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,18652
ICRA Limited,ICRA,14523
ideaForge Technology Limited,IDEAFORGE,17140
IFB Agro Industries Limited,IFBAGRO,1482
IFB Industries Limited,IFBIND,1485
I G Petrochemicals Limited,IGPL,14086
IIFL Finance Limited,IIFL,11809
Indian Metals and Ferro Alloys Limited,IMFA,19235
India Motor Parts & Accessories Limited,IMPAL,12009
Indegene Limited,INDGN,23693
The Indian Hotels Company Limited,INDHOTEL,1512
The India Cements Limited,INDIACEM,1515
India Glycols Limited,INDIAGLYCO,1521
IndiaMART InterMESH Limited,INDIAMART,10726
Indian Bank,INDIANB,14309
India Shelter Finance Corporation Limited,INDIASHLTR,20556
InterGlobe Aviation Limited,INDIGO,11195
Indigo Paints Limited,INDIGOPNTS,2048
India Nippon Electricals Limited,INDNIPPON,4747
Indo Tech Transformers Limited,INDOTECH,13275
Indraprastha Medical Corporation Limited,INDRAMEDCO,4751
IndusInd Bank Limited,INDUSINDBK,5258
Indus Towers Limited,INDUSTOWER,29135
Infosys Limited,INFY,1594
Ingersoll-Rand (India) Limited,INGERRAND,1597
Innova Captab Limited,INNOVACAP,21062
INOX India Limited,INOXINDIA,20607
Insecticides (India) Limited,INSECTICID,14657
Intellect Design Arena Limited,INTELLECT,5926
Interarch Building Solutions Limited,INTERARCH,24909
Ipca Laboratories Limited,IPCALAB,1633
Indian Railway Catering & Tourism Corporation Limited,IRCTC,13611
Isgec Heavy Engineering Limited,ISGEC,3329
India Tourism Development Corporation Limited,ITDC,19299
IZMO Limited,IZMO,14178
J. B. Chemicals & Pharmaceuticals Limited,JBCHEPHARM,1726
JBM Auto Limited,JBMA,11655
Jindal Photo Limited,JINDALPHOT,11743
Jindal Poly Films Limited,JINDALPOLY,1756
Jindal Steel Limited,JINDALSTEL,6733
Jindal Drilling & Industries Limited,JINDRILL,13875
J.K. Cement Limited,JKCEMENT,13270
J. Kumar Infraprojects Limited,JKIL,15266
JK Lakshmi Cement Limited,JKLAKSHMI,13491
JK Tyre & Industries Limited,JKTYRE,14435
Jupiter Life Line Hospitals Limited,JLHL,18553
Jindal Poly Investment and Finance Company Limited,JPOLYINVST,31507
Jindal Stainless Limited,JSL,11236
Jeena Sikho Lifecare Limited,JSLL,758115
JSW Energy Limited,JSWENERGY,17869
JSW Holdings Limited,JSWHL,11880
JSW Steel Limited,JSWSTEEL,11723
Jubilant Agri and Consumer Products Limited,JUBLCPL,29590
Jubilant FoodWorks Limited,JUBLFOOD,18096
Jubilant Ingrevia Limited,JUBLINGREA,2783
Jubilant Pharmova Limited,JUBLPHARMA,3637
Just Dial Limited,JUSTDIAL,29962
Kajaria Ceramics Limited,KAJARIACER,1808
Kalyani Forge Limited,KALYANIFRG,15156
Kalyan Jewellers India Limited,KALYANKJIL,2955
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA,15136
Kaynes Technology India Limited,KAYNES,12092
KDDL Limited,KDDL,14908
KEC International Limited,KEC,13260
KEI Industries Limited,KEI,13310
Kennametal India Limited,KENNAMET,11841
Kernex Microsystems (India) Limited,KERNEX,13121
KFin Technologies Limited,KFINTECH,13359
Kalyani Investment Company Limited,KICL,21119
Krishna Institute of Medical Sciences Limited,KIMS,4847
Kingfa Science & Technology (India) Limited,KINGFA,18944
Kiri Industries Limited,KIRIINDUS,16639
Kirloskar Ferrous Industries Limited,KIRLFER,14466
Kirloskar Brothers Limited,KIRLOSBROS,18581
Kirloskar Oil Engines Limited,KIRLOSENG,20936
Kirloskar Industries Limited,KIRLOSIND,19025
Kirloskar Pneumatic Company Limited,KIRLPNU,15180
Kewal Kiran Clothing Limited,KKCL,13381
Knowledge Marine & Engineering Works Limited,KMEW,27084
Kolte-Patil Developers Limited,KOLTEPATIL,15124
Kovai Medical Center and Hospital Limited,KOVAI,5192
KPI Green Energy Limited,KPIGREEN,5108
Kalpataru Projects International Limited,KPIL,1814
KPIT Technologies Limited,KPITTECH,9683
K.P.R. Mill Limited,KPRMILL,14912
KRN Heat Exchanger and Refrigeration Limited,KRN,25643
Krsnaa Diagnostics Limited,KRSNAA,5359
KSB Limited,KSB,1949
Kaveri Seed Company Limited,KSCL,14972
Kalyani Steels Limited,KSL,18889
Dr. Lal PathLabs Limited,LALPATHLAB,11654
Landmark Cars Limited,LANDMARK,13276
Laurus Labs Limited,LAURUSLABS,19234
Lenskart Solutions Limited,LENSKART,759605
L.G. Balakrishnan & Bros Limited,LGBBROSLTD,18321
LIC Housing Finance Limited,LICHSGFIN,1997
Life Insurance Corporation of India,LICI,9480
Linde India Limited,LINDEINDIA,1627
