tradingsymbol,exchange_token
SAKAR,9539
SALZERELEC,11399
SANATHAN,28805
SANDESH,2988
SANDHAR,2397
SANGAMIND,4184
SANOFI,1442
SANOFICONR,25222
SANSERA,5751
SARDAEN,17758
SASKEN,11983
SBCL,4656
SBICARD,17971
SBILIFE,21808
SBIN,3045
SCHAEFFLER,1011
SCHNEIDER,31238
SEAMECLTD,2616
SEDEMAC,761153
SEJALLTD,7091
SENORES,28888
SFL,19184
SGFIN,758853
SGIL,5114
SGMART,758889
SHAILY,8727
SHAKTIPUMP,25574
SHANTIGEAR,3078
SHARDACROP,4992
SHARDAMOTR,10530
SHILCTECH,759847
SHILPAMED,17752
SHREECEM,3103
SHRIPISTON,17186
SHRIRAMFIN,4306
SHYAMMETL,4693
SIEMENS,3150
SIGNATURE,18743
SILINV,4105
SIRCA,11050
SIYSIL,14096
SJS,6643
SKFINDIA,3186
SKFINDUS,760101
SKIPPER,9428
SKYGOLD,13631
SMARTWORKS,757965
SMLMAH,3387
SMSPHARMA,14329
SOBHA,13826
SOLARA,3672
SOLARINDS,13332
SOLEX,759397
SOMANYCERA,3880
SONACOMS,4684
SPAL,18252
SPECTRUM,30455
SPLPETRO,9617
SRF,3273
SRHHYPOLTD,14582
SRM,23402
STAR,7374
STARHEALTH,7083
STEL,21484
STOVEKRAFT,2107
STUDDS,759587
STYLAMIND,5186
STYRENIX,19
SUBROS,3324
SUDARSCHEM,3327
SUDEEPPHRM,760039
SUMICHEM,17105
SUMMITSEC,21275
SUNCLAY,20956
SUNDARMFIN,3339
SUNDRMBRAK,4179
SUNDRMFAST,3345
SUNDROP,1663
SUNPHARMA,3351
SUNTV,13404
SUPRAJIT,11689
SUPREMEIND,3363
SUPRIYA,7390
SUYOG,24851
SVLL,15121
SWANDEF,29164
SWARAJENG,3384
SWELECTES,11909
SYMPHONY,24190
SYNGENE,10243
SYRMA,10793
TANLA,13976
TASTYBITE,20092
TATACHEM,3405
TATACOMM,3721
TATACONSUM,3432
TATAELXSI,3411
TATAINVEST,1621
TATAPOWER,3426
TATATECH,20293
TATVA,5162
TBOTEK,23740
TCI,10580
TCIEXP,19223
TCPLPACK,184
TCS,11536
TDPOWERSYS,25178
TEAMLEASE,12716
TECHM,13538
TECHNOE,6445
TEGA,7105
TEJASNET,21131
TEMBO,3275
TENNIND,759880
THANGAMAYL,18118
THEJO,19279
THELEELA,757014
THERMAX,3475
TI,19196
TIIL,14223
TIINDIA,312
TIMKEN,14198
TINNARUBR,756020
TIPSMUSIC,9117
TITAGARH,15414
TITAN,3506
TMB,10945
TMCV,759782
TORNTPHARM,3518
TORNTPOWER,13786
TRANSRAILL,28714
TRAVELFOOD,757545
TRENT,1964
TRITURBINE,25584
TRUALT,759210
TSFINV,2183
TTKHLTCARE,11369
TTKPRESTIG,3546
TVSELECT,11265
